mmsi,timestamp,distance_from_shore,distance_from_port,speed,course,lat,lon,is_fishing,source
1.84835E+13,1351315583,0,2236.013184,0,0,28.96589279,-13.53955364,0,gfw
1.84835E+13,1351169967,0,2236.013184,0,115.5,28.96598053,-13.53957462,0,gfw
1.84835E+13,1352907315,0,2236.013184,0,0,28.96593285,-13.53957176,0,gfw
1.84835E+13,1351167266,0,2236.013184,0,35,28.9659729,-13.53956032,0,gfw
1.84835E+13,1350726982,0,2236.013184,0,34.5,28.96595573,-13.5395937,0,gfw
1.84835E+13,1351045030,0,2236.013184,0,0,28.9659462,-13.53953838,0,gfw
1.84835E+13,1351840711,0,2236.013184,0,206.5,28.96590996,-13.53956699,0,gfw
1.84835E+13,1352187964,0,2236.013184,0,4.699999809,28.96592712,-13.53958035,0,gfw
1.84835E+13,1349769800,0,2236.013184,0,0,28.96593094,-13.53956318,0,gfw
1.84835E+13,1352822375,0,2236.013184,0,261.5,28.96595955,-13.53958035,0,gfw
1.84835E+13,1350564880,0,2236.013184,0,115.1999969,28.96598625,-13.53956699,0,gfw
1.84835E+13,1342919110,75958.65625,113988.4297,2.200000048,244.1999969,29.44368362,-12.67911816,1,gfw
1.84835E+13,1352937768,0,2236.013184,0,349.2999878,28.96598053,-13.53955364,0,gfw
1.84835E+13,1342577899,49476.05469,77024.07813,8.5,77.30000305,28.7981739,-14.45130634,1,gfw
1.84835E+13,1350527246,0,2236.013184,0,16.60000038,28.96598053,-13.53956795,0,gfw
1.84835E+13,1352780474,0,2236.013184,0.100000002,64.80000305,28.96593666,-13.5395546,0,gfw
1.84835E+13,1351787680,0,2236.013184,0.100000002,356.6000061,28.96593666,-13.53959847,0,gfw
1.84835E+13,1350705055,0,2236.013184,0,337.2000122,28.96596336,-13.53957653,0,gfw
1.84835E+13,1351711836,0,2236.013184,0,187.8999939,28.96598625,-13.53954697,0,gfw
1.84835E+13,1352441648,0,2236.013184,0,0,28.96594048,-13.53954697,0,gfw
1.84835E+13,1352116600,0,2236.013184,0,251.6000061,28.96599388,-13.53958035,0,gfw
1.84835E+13,1351627194,0,2236.013184,0,1.600000024,28.96602631,-13.5395565,0,gfw
1.84835E+13,1352622214,0,2236.013184,0,0,28.96595383,-13.53957367,0,gfw
1.84835E+13,1351278327,0,2236.013184,0,150.1000061,28.96603394,-13.53958797,0,gfw
1.84835E+13,1351042150,0,2236.013184,0,162.6999969,28.9659729,-13.53957367,0,gfw
1.84835E+13,1350577064,0,2236.013184,0,141.1000061,28.96599388,-13.53958988,0,gfw
1.84835E+13,1352925485,0,2236.013184,0,148.3000031,28.9659729,-13.53958988,0,gfw
1.84835E+13,1351913192,0,2236.013184,0,304.7000122,28.9659462,-13.53954697,0,gfw
1.84835E+13,1351524293,0,2236.013184,0,152.6000061,28.96598244,-13.53958321,0,gfw
1.84835E+13,1352860370,0,2236.013184,0,167.3000031,28.96594048,-13.53956985,0,gfw
